domain,class_modifier,class_ncit,class_prefLabel,prop,label,range,cardinality,ncit,prefLabel,definition,relationshipType,modelName,modelRepresentation,boundCodelist,boundCodelistNote
MedicalDeviceIdentifier,Concrete,C215501,Medical Device Identifier,MedicalDeviceIdentifier-extensionAttributes,MedicalDeviceIdentifier-extensionAttributes,ExtensionAttribute,0..*,,,,Value,,,,
NarrativeContent,Concrete,C207592,Narrative Content,NarrativeContent-contentItemId,NarrativeContent-contentItemId,NarrativeContentItem,0..1,,,A USDM relationship between the NarrativeContent and NarrativeContentItem classes which identifies the content item associated with the narrative content.,Ref,contentItem,Relationship,,
NarrativeContent,Concrete,C207592,Narrative Content,NarrativeContent-previousId,NarrativeContent-previousId,NarrativeContent,0..1,,,A USDM relationship within the NarrativeContent class which identifies the narrative content that precedes the current narrative content in the display order.,Ref,previous,Relationship,,
NarrativeContent,Concrete,C207592,Narrative Content,NarrativeContent-nextId,NarrativeContent-nextId,NarrativeContent,0..1,,,A USDM relationship within the NarrativeContent class which identifies the narrative content that follows the current narrative content in the display order.,Ref,next,Relationship,,
NarrativeContent,Concrete,C207592,Narrative Content,NarrativeContent-childIds,NarrativeContent-childIds,NarrativeContent,0..*,,,A USDM relationship within the NarrativeContent class which identifies the set of child content associated with an instance of narrative content.,Ref,children,Relationship,,
NarrativeContent,Concrete,C207592,Narrative Content,NarrativeContent-extensionAttributes,NarrativeContent-extensionAttributes,ExtensionAttribute,0..*,,,,Value,,,,
NarrativeContentItem,Concrete,C215489,Narrative Content Item,NarrativeContentItem-extensionAttributes,NarrativeContentItem-extensionAttributes,ExtensionAttribute,0..*,,,,Value,,,,
Objective,Concrete,C142450,Study Objective,Objective-level,Objective-level,Code,1,C188823,Study Objective Level,A characterization or classification of the study objective that determines its category of importance relative to other study objectives.,Value,level,Attribute,C188725,Y (C188725)
Objective,Concrete,C142450,Study Objective,Objective-endpoints,Objective-endpoints,Endpoint,0..*,,,A USDM relationship between the Objective and Endpoint classes which identifies the set of endpoints associated with the study objective.,Value,endpoints,Relationship,,
Objective,Concrete,C142450,Study Objective,Objective-extensionAttributes,Objective-extensionAttributes,ExtensionAttribute,0..*,,,,Value,,,,
ObservationalStudyDesign,Concrete,C215504,Observational Study Design,ObservationalStudyDesign-model,ObservationalStudyDesign-model,Code,1,C147138,Observation Study Design Model Type,The general design of the strategy for identifying and following up with participants during observational studies. (clinicaltrials.gov),Value,model,Attribute,C127259,Y (SDTM Terminology Codelist C127259)
ObservationalStudyDesign,Concrete,C215504,Observational Study Design,ObservationalStudyDesign-subTypes,ObservationalStudyDesign-subTypes,Code,0..*,C215635,Observational Study Type,The nature of the observational study for which information is being collected.,Value,subTypes,Attribute,C215486,Y (C215486)
ObservationalStudyDesign,Concrete,C215504,Observational Study Design,ObservationalStudyDesign-timePerspective,ObservationalStudyDesign-timePerspective,Code,1,C126065,Observational Time Perspective,The temporal relationship between the observation period and time of subject enrollment. (ClinicalTrials.gov),Value,timePerspective,Attribute,C127261,Y (SDTM Terminology Codelist C127261)
ObservationalStudyDesign,Concrete,C215504,Observational Study Design,ObservationalStudyDesign-samplingMethod,ObservationalStudyDesign-samplingMethod,Code,0..1,C126067,Observational Study Sampling Method,The sampling method used to assign study participants into groups or cohorts within an observational study.,Value,samplingMethod,Attribute,C127260,Y (SDTM Terminology Codelist C127260)
ObservationalStudyDesign,Concrete,C215504,Observational Study Design,ObservationalStudyDesign-extensionAttributes,ObservationalStudyDesign-extensionAttributes,ExtensionAttribute,0..*,,,,Value,,,,
ObservationalStudyDesign,Concrete,C215504,Observational Study Design,ObservationalStudyDesign-analysisPopulations,ObservationalStudyDesign-analysisPopulations,AnalysisPopulation,0..*,,,,Value,,,,
Organization,Concrete,C19711,Organization,Organization-type,Organization-type,Code,1,C188820,Organization Type,"A characterization or classification of the formalized group of persons or other organizations collected together for a common purpose (such as administrative, legal, political) and the infrastructure to carry out that purpose.",Value,type,Attribute,C188724,Y (C188724)
Organization,Concrete,C19711,Organization,Organization-legalAddress,Organization-legalAddress,Address,0..1,,,A USDM relationship between the Organization and Address classes which provides the legal address for an organization.,Value,legalAddress,Relationship,,
Organization,Concrete,C19711,Organization,Organization-managedSites,Organization-managedSites,StudySite,0..*,,,A USDM relationship between the Organization and StudySite classes which identifies the set of study sites managed by the organization.,Value,managedSites,Relationship,,
Organization,Concrete,C19711,Organization,Organization-extensionAttributes,Organization-extensionAttributes,ExtensionAttribute,0..*,,,,Value,,,,
ParameterMap,Concrete,C207456,Parameter Map,ParameterMap-extensionAttributes,ParameterMap-extensionAttributes,ExtensionAttribute,0..*,,,,Value,,,,
PersonName,Concrete,C25191,Person Name,PersonName-extensionAttributes,PersonName-extensionAttributes,ExtensionAttribute,0..*,,,,Value,,,,
PopulationDefinition,Abstract,C207593,Population Definition,PopulationDefinition-plannedSex,PopulationDefinition-plannedSex,Code,0..2,C207541,Study Cohort Planned Sex,The protocol-defined sex within the study cohort.,Value,plannedSex,Attribute,C66732,Y (SDTM Terminology Codelist C66732)
PopulationDefinition,Abstract,C207593,Population Definition,PopulationDefinition-plannedAge,PopulationDefinition-plannedAge,Range,0..1,C207545,Study Cohort Planned Age,The anticipated age of subjects within the study cohort.,Value,plannedAge,Attribute,,
PopulationDefinition,Abstract,C207593,Population Definition,PopulationDefinition-plannedCompletionNumber,PopulationDefinition-plannedCompletionNumber,QuantityRange,0..1,C207546,Study Cohort Planned Completion Number,"The value representing the planned number of subjects that must complete the study in order to meet the objectives and endpoints of the study, within the study cohort.",Value,plannedCompletionNumber,Attribute,,
PopulationDefinition,Abstract,C207593,Population Definition,PopulationDefinition-plannedEnrollmentNumber,PopulationDefinition-plannedEnrollmentNumber,QuantityRange,0..1,C207702,Study Cohort Planned Enrollment Number,"The value representing the planned number of subjects to be entered in a clinical trial, within the study cohort.",Value,plannedEnrollmentNumber,Attribute,,
PopulationDefinition,Abstract,C207593,Population Definition,PopulationDefinition-notes,PopulationDefinition-notes,CommentAnnotation,0..*,C215547,Study Cohort Notes,A brief written record relevant to the study cohort.,Value,notes,Attribute,,
PopulationDefinition,Abstract,C207593,Population Definition,PopulationDefinition-criterionIds,PopulationDefinition-criterionIds,EligibilityCriterion,0..*,,,A USDM relationship between the StudyCohort and EligibilityCriterion classes which identifies the set of eligibility criteria associated with the study cohort.,Ref,criteria,Relationship,,
Procedure,Concrete,C98769,Procedure,Procedure-code,Procedure-code,Code,1,C154626,Procedure Code,A symbol or combination of symbols which is assigned to medical procedure.,Value,code,Attribute,,"Y (Point out to external dictionary like CPT, MedDRA, SNOMEDCT, etc.)"
Procedure,Concrete,C98769,Procedure,Procedure-notes,Procedure-notes,CommentAnnotation,0..*,C215520,Procedure Notes,A brief written record relevant to the procedure.,Value,notes,Attribute,,
Procedure,Concrete,C98769,Procedure,Procedure-studyInterventionId,Procedure-studyInterventionId,StudyIntervention,0..1,,,A USDM relationship between the Procedure and StudyInterventionclasses which provides the details associated with an instance of an intervention performed during the conduct of a procedure.,Ref,studyIntervention,Relationship,,
Procedure,Concrete,C98769,Procedure,Procedure-extensionAttributes,Procedure-extensionAttributes,ExtensionAttribute,0..*,,,,Value,,,,
ProductOrganizationRole,Concrete,C215502,Product Organization Role,ProductOrganizationRole-code,ProductOrganizationRole-code,Code,1,C215625,Product Organization Role Code,A symbol or combination of symbols which is assigned to the product organization role.,Value,code,Attribute,C215485,Y (C215485)
