target_class,attribute,declaring_class,range_kind
StudyIntervention,StudyElement-studyInterventionIds,StudyElement,direct
StudyIntervention,StudyVersion-studyInterventions,StudyVersion,direct
StudyRole,StudyVersion-roles,StudyVersion,direct
StudySite,Organization-managedSites,Organization,direct
StudySite,SubjectEnrollment-forStudySiteId,SubjectEnrollment,direct
StudyTitle,StudyVersion-titles,StudyVersion,direct
StudyVersion,Study-versions,Study,direct
StudyVersion,StudyRole-appliesToIds,StudyRole,via_union
SubjectEnrollment,StudyAmendment-enrollments,StudyAmendment,direct
Substance,Ingredient-substance,Ingredient,direct
Substance,Substance-referenceSubstance,Substance,direct
SyntaxTemplateDictionary,StudyVersion-dictionaries,StudyVersion,direct
SyntaxTemplateDictionary,SyntaxTemplate-dictionaryId,SyntaxTemplate,direct
Timing,Encounter-scheduledAtId,Encounter,direct
Timing,ScheduleTimeline-timings,ScheduleTimeline,direct
TransitionRule,Encounter-transitionEndRule,Encounter,direct
TransitionRule,Encounter-transitionStartRule,Encounter,direct
TransitionRule,StudyElement-transitionEndRule,StudyElement,direct
TransitionRule,StudyElement-transitionStartRule,StudyElement,direct
